bates_number,status
HOUSE_OVERSIGHT_010232,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010233,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010234,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010235,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010236,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010237,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010238,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010239,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010240,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010241,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010242,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010243,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010244,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010245,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010246,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010247,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010248,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010249,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010250,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010251,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010252,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010253,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010254,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010255,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010256,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010257,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010258,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010259,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010260,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010261,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010262,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010263,produced to House Oversight; not posted publicly
